序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
32,創新AI,112598166,頕蛔牷,tokv6sbl51,7,7,2,1,7,1,0,0,0,5
33,資工所,112598992,嶇阚獠,pgut7ww3gw,2,0,6,9,8,0,1,2,5,7
34,電資資安,112598291,騄獣秄,1rv9qvg76q,3,0,4,4,2,5,9,3,2,1
35,資工所,112598870,覘嗐銣,r7jkmzwuht,7,2,4,2,6,2,1,6,4,6
36,資工系,112598394,詑淅记,cufmqx1jnz,6,0,8,2,3,8,9,3,5,1
37,電資AI,112598707,韻辄魉,y5inl06gar,8,3,3,0,9,6,3,2,7,8
38,資工所,112598054,爭鍿棾,76p93mwfyw,0,7,1,5,6,1,0,7,6,7
39,電資資安,112598060,燾茓愗,x1zexa6l1a,4,3,1,2,9,5,1,4,2,7
40,資工系,112598056,褉麋秐,ogwx13wa2ek,1,3,4,0,1,2,1,2,5,4
41,資工系,112598086,刨枹推,egrjb3j9yj,9,9,7,6,6,7,2,0,8,4
42,資工所,112598577,倲滣媠,moh6udicb7,4,4,5,2,0,4,8,2,7,1
43,創新AI,112598035,秨踖蚡,vzd8iazn8w,1,3,8,3,2,2,9,1,4,4
44,資工系,112598368,捆垣宱,q859zwkg5gj,9,7,6,4,8,3,1,5,1,5
45,創新AI,112598382,饔閚牚,amh6nnvz8s,5,4,8,0,5,5,9,1,1,7
46,電資資安,112598924,澭徒袁,s162l3j0uq,9,8,3,1,0,5,3,4,6,7
47,資工所,112598206,芛諮凷,dyvc0u4yol,3,0,0,8,8,7,0,8,7,6
48,資工所,112598939,阬岲俺,i66ss2wlvy,0,5,1,1,0,3,4,1,5,4
49,電資資安,112598778,豆髕殬,5ljzqgw7q4,4,9,7,4,9,0,0,0,5,4
50,創新AI,112598661,女鸅鐞,lmx4ikckrr,0,5,6,2,3,3,0,8,6,8
51,電資AI,112598086,艓琖浦,qdwi1bpw7c,6,0,8,1,4,2,3,5,9,6
52,資工系,112598584,佀眶餛,3j03qfgp7k,0,8,5,6,0,6,5,2,1,1
53,電資資安,112598322,扙埽熫,r4enzanw4r,9,7,8,5,5,0,8,4,2,2
54,資工系,112598205,顚茰廭,w2qoes572c,1,1,6,1,4,5,3,1,5,7
55,電資資安,112598977,侜壟眨,5793f07vwi,1,5,9,2,0,9,4,4,8,9
56,創新AI,112598933,閇惺寸,gt9a7bixar,1,6,2,2,5,7,0,4,4,9
57,資工系,112598390,韛汾兿,otlos742ji,4,7,4,7,9,3,0,1,7,1
58,資工系,112598446,馒拻谈,d6598ui0bu,7,2,6,9,1,9,0,7,0,6
59,資工所,112598911,伋寂狵,r3ru19dl0sg,4,8,5,4,5,3,5,2,6,3
60,創新AI,112598301,韊凣枛,fnm6adjxgy,5,8,9,6,3,5,7,5,2,7
61,電資資安,112598122,峐鞨婸,gg3ynbj8gw,0,5,2,2,8,6,6,5,5,3
62,資工系,112598763,痵巎拞,lqgrxpgvp,7,2,0,2,0,7,7,9,0,3
63,電資AI,112598864,纊鯆畨,l63mlx11xn,0,5,3,8,0,2,8,2,0,9
64,資工所,112598084,俷仒臔,f7gslxrq0j,9,4,2,7,7,9,3,9,5,1
65,電資資安,112598693,銼滈搯,nq95zwkdm6,7,2,2,7,5,3,9,5,2,7
66,資工系,112598182,卯莥肪,zfghbp51w1,9,0,6,5,6,8,8,7,5,8
67,電資AI,112598699,稃啺溇,140ls9p3rch,4,9,7,9,1,4,1,7,6,2
68,創新AI,112598708,艃廖鬧,uuuylljqgyj,4,7,8,4,5,7,9,0,3,1
69,資工所,112598162,澊鍈炊,7p89qlet3c,2,3,2,8,6,9,6,8,8,1
70,資工系,112598206,胑吿鿴,56b63atz72,2,5,3,0,8,8,8,5,4,2
71,創新AI,112598208,姼焅徚,e7hgatuqh7,3,9,5,4,8,1,9,6,4,0
72,資工系,112598672,陃疺蜦,hssperc2t9,8,0,0,8,8,1,4,7,4,9
73,電資資安,112598745,劂報乿,nf3rj8gp0n,7,7,9,7,3,3,3,4,6,6
74,電資資安,112598149,買鯹枊,6zpo8vtnd7g,1,2,4,1,7,0,9,1,9,8
75,創新AI,112598028,孝食鉨,sd8ck0bbp3,9,6,7,6,2,1,3,9,8,4
76,創新AI,112598171,轐剫菍,l4ef597wzek,5,4,2,2,1,1,3,1,2,7
77,電資資安,112598895,驣媙馳,pbj9bd8arx,6,4,8,8,3,0,0,7,2,3
78,資工系,112598258,羓趧靐,jaqy2fiesuf,0,9,6,8,8,7,0,7,3,2
79,資工系,112598149,掣阭鄆,4h1d8ble2ig,4,4,5,4,3,1,8,8,4,6
80,資工系,112598072,饡檆艷,0tnrjyeici,6,0,5,2,7,0,0,8,2,0
81,創新AI,112598597,躆储椫,12436kz9qi,3,6,3,1,2,3,0,8,5,6
82,電資資安,112598686,僯鑸葓,ycgm9syqppk,7,6,6,0,8,6,1,2,8,0
83,電資資安,112598243,歎爐鴿,bofex1xw4e,5,2,9,2,1,6,8,4,1,0
84,資工所,112598025,潸哳卺,2cye745r3x,6,8,2,3,6,4,4,9,1,2
85,創新AI,112598023,翯唟鵔,fu6ar5nxrx,1,8,3,4,8,6,8,2,8,5
86,電資資安,112598500,桝処焺,3xyae6z5ou,2,8,6,9,1,3,2,9,2,5
87,電資資安,112598972,儅觤碣,9qcsf4kunq,7,5,9,9,8,0,3,2,2,1
88,創新AI,112598710,户誫萱,9kp2ijq5pu,7,9,3,2,9,0,8,8,5,1
89,資工系,112598595,掋館妾,96g5jdj1dc,3,6,9,9,2,5,9,1,6,5
90,資工系,112598696,礤力傞,4f9jf6q30k,7,2,7,3,5,2,7,2,5,3
91,資工系,112598122,飈牄褔,j4tix32h08,5,9,4,9,5,7,8,4,6,0
92,創新AI,112598267,厾瘚鈤,0idx7jbjiy,3,5,4,2,9,0,8,4,1,6
93,電資AI,112598419,腰结閹,xzotue7bra,0,0,7,6,7,8,9,4,8,1
94,資工系,112598148,愲禵踤,3k28gmmlws,6,3,5,5,1,5,9,0,4,5
95,創新AI,112598206,漩崯孶,4ik28s34s3,4,4,0,8,9,3,0,9,8,9
96,資工系,112598611,嬐狗涤,jcr1kvu7jb,2,5,9,9,0,4,3,0,9,5
97,電資AI,112598421,辈聏骫,1qv1sb6e0c,4,4,2,6,9,8,7,9,1,1
98,創新AI,112598007,騂鄎玃,mn01430gbv,4,7,7,6,0,3,0,2,7,7
99,電資資安,112598126,邕碼屾,4yvqsa2820g,7,6,7,1,3,3,9,2,5,7
100,電資AI,112598778,熟囨呮,bpda76nuum,9,7,9,5,5,8,1,0,7,7
101,資工所,112598123,竅箎舷,b304igkm0m,7,8,2,1,0,6,2,4,5,2
102,電資資安,112598591,頓糮滂,xkp07bs1g4,1,7,9,5,7,3,0,0,6,0
103,創新AI,112598541,堩澥緜,6p2fjgzule,0,6,3,1,3,0,7,4,9,0
104,資工系,112598854,膣像髰,ktoewsl6sz,5,4,9,0,0,9,1,8,8,2
105,創新AI,112598005,記墔双,ingi173rlw,0,3,5,5,8,4,8,1,4,4
106,電資AI,112598597,臃牉搊,a7s4hselxtl,8,2,6,2,3,0,9,0,6,7
107,資工系,112598565,輧蝀谵,owu8vywmjp,7,9,7,6,3,1,6,7,2,8
108,資工所,112598755,橥峁郼,71i3ig0xz6,8,8,3,0,0,8,2,0,1,8
109,創新AI,112598285,瞱减蔞,z36x48kxd2,0,2,1,6,3,0,5,1,0,8
110,資工系,112598799,篲秫吖,pbxctpb0xv,2,4,0,3,8,5,2,1,1,9
111,電資AI,112598962,獜撂偓,pm7674h7w,2,5,9,9,2,9,1,9,0,7
112,資工所,112598383,托锓翖,w6qvp741qr,5,5,0,0,7,8,0,9,0,2
113,資工系,112598163,鴢裯咸,utiob42i4s,4,4,8,8,1,7,3,7,7,9
114,電資資安,112598905,袺聬搕,1k44zm5nj8,3,8,3,8,9,9,9,3,1,4
115,資工系,112598544,俠閶啸,hznvg8brac,3,5,5,7,5,3,7,5,3,0
116,電資AI,112598599,俯擮伣,sbdzza4pac,5,8,7,0,8,2,0,0,7,3
117,創新AI,112598578,籡暞掞,cgnxp0ncge,0,8,5,9,6,8,8,2,9,1
118,電資資安,112598368,瓀坐訹,y9q1u049d3,7,9,0,9,1,7,4,6,9,3
119,創新AI,112598386,党鮻蒞,fk1ra5dfay,7,8,8,1,7,4,7,7,4,2
